# config.machine: epyc7351-2080ti
# config.bin: /tmp/claude-2017/-home-jueonpark-sym/595debf3-ca62-43ba-a9fe-225c7908aed7/scratchpad/bench-rtrack
# config.numactl: 
# config.transforms: all
# config.methods: all
# config.n: 2048; 4096; 8192; 16384
# config.chunk_mib: 4; 16; 64; 256
# config.threads: 8
# config.warmup: 5
# config.iters: 30
# config.out_csv: /tmp/claude-2017/-home-jueonpark-sym/595debf3-ca62-43ba-a9fe-225c7908aed7/scratchpad/v1_gen3_nsweep.csv
# calibration.timestamp: 2026-07-28T10:33:40+0900
# calibration.hostname: rebel-gpu1
# calibration.kernel: Linux rebel-gpu1 6.8.0-124-generic #124~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue May 26 21:05:19 UTC  x86_64
# calibration.cpu_model: AMD EPYC 7351 16-Core Processor
# calibration.governors: performance
# calibration.transparent_hugepage: always [madvise] never
# calibration.numactl_available: False
# calibration.cuda_toolkit: None
# calibration.gpus: {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}; {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}; {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}; {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}
# calibration.pcie_under_load.gen: 3
# calibration.pcie_under_load.width: 16
# calibration.triad_gbps: 26.07
# calibration.nvbandwidth: None
# calibration.notes: nvbandwidth not installed
machine,gpu,method,transform,N,dtype_out,r,threads,chunk_req_mib,staging_bytes,n_chunks,median_ms,min_ms,p95_ms,iqr_over_median_pct,unstable,effective_input_GBps,gpu_pipeline_ms,cpu_stage_ms,h2d_ms,gpu_kernel_ms,verified
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,transpose,4096,f32,1,8,64,67108864,1,5.43718,5.43037,5.4418,0.0979416,0,12.3426,5.43147,0,5.13766,0.288752,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,4096,f32,1,8,4,4194304,16,6.21483,5.42258,6.97733,14.9779,1,10.7982,6.2085,5.66715,5.3901,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,blocked_transpose,4096,f32,1,8,4,4194304,16,5.92109,5.71317,6.17025,2.95412,0,11.3339,5.9136,4.72504,5.26104,0.28864,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,blocked_transpose,4096,f32,1,8,4,4194304,16,5.50792,5.50649,5.51004,0.0241582,0,12.1841,5.50221,0,5.18222,0.292016,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,4096,f32,1,8,16,16777216,4,8.78262,8.74472,8.82005,0.306754,0,7.6411,8.77592,7.34892,6.25134,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,blocked_transpose,4096,f32,1,8,16,16777216,4,8.93727,8.91286,8.99752,0.262716,0,7.50888,8.93096,7.20817,6.18805,0.288624,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,blocked_transpose,4096,f32,1,8,16,16777216,4,5.45087,5.448,5.45376,0.0383814,0,12.3116,5.44534,0,5.14654,0.28928,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,4096,f32,1,8,64,67108864,1,11.0571,11.0406,11.0696,0.0577902,0,6.06931,11.0499,5.88533,5.15085,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,blocked_transpose,4096,f32,1,8,64,67108864,1,9.49524,9.47728,9.51555,0.104804,0,7.06763,9.48747,4.03186,5.15224,0.288928,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,blocked_transpose,4096,f32,1,8,64,67108864,1,5.43672,5.43345,5.43844,0.0413834,0,12.3436,5.43106,0,5.13718,0.289056,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose_quant,4096,s8,0.25,8,4,4194304,4,136.075,135.805,136.307,0.0999042,0,0.493177,136.068,135.628,1.34562,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,transpose_quant,4096,s8,0.25,8,4,4194304,16,6.93208,6.63656,7.52693,3.85811,0,9.68092,6.92474,5.86595,5.47992,0.499456,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,transpose_quant,4096,s8,0.25,8,4,4194304,16,5.67415,5.66796,5.67846,0.0748789,0,11.8271,5.66768,0,5.18224,0.456928,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose_quant,4096,s8,0.25,8,16,16777216,1,137.618,137.154,138.467,0.15323,0,0.487645,137.611,136.292,1.30464,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,transpose_quant,4096,s8,0.25,8,16,16777216,4,9.16766,9.10521,9.25938,0.537744,0,7.32017,9.1595,7.23009,6.21334,0.5044,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,transpose_quant,4096,s8,0.25,8,16,16777216,4,5.62089,5.61323,5.62605,0.123843,0,11.9392,5.61418,0,5.14726,0.457968,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,transpose_quant,4096,s8,0.25,8,64,67108864,1,9.66047,9.64657,9.67753,0.122219,0,6.94675,9.65224,4.03148,5.15232,0.455072,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,transpose_quant,4096,s8,0.25,8,64,67108864,1,5.60419,5.59684,5.61099,0.0793745,0,11.9748,5.59878,0,5.13757,0.456112,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,quant,4096,s8,0.25,8,4,4194304,4,3.72451,3.70542,3.74037,0.292814,0,18.0182,3.71728,3.30107,1.4224,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,quant,4096,s8,0.25,8,4,4194304,16,6.71861,6.11015,6.9696,6.02637,1,9.9885,6.71246,6.0152,5.41677,0.175664,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,quant,4096,s8,0.25,8,4,4194304,16,5.39163,5.39027,5.39331,0.0159403,0,12.4469,5.386,0,5.18203,0.17584,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,quant,4096,s8,0.25,8,16,16777216,1,4.26392,4.2433,4.29161,0.345867,0,15.7388,4.25555,2.94108,1.30219,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,quant,4096,s8,0.25,8,16,16777216,4,8.81157,8.79959,8.83642,0.130555,0,7.61599,8.80445,7.20477,6.18437,0.174144,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,quant,4096,s8,0.25,8,16,16777216,4,5.33641,5.33304,5.33834,0.0574756,0,12.5756,5.33082,0,5.14632,0.175408,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,quant,4096,s8,0.25,8,64,67108864,1,9.37218,9.35085,9.38397,0.0918467,0,7.16043,9.3647,4.02342,5.15214,0.173856,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,quant,4096,s8,0.25,8,64,67108864,1,5.3215,5.31931,5.32518,0.0635406,0,12.6109,5.31627,0,5.13749,0.174016,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,nchw_nhwc_quant,4096,s8,0.25,8,4,4194304,4,26.4384,26.29,26.5192,0.314167,0,2.53831,26.4293,25.9759,1.35491,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,nchw_nhwc_quant,4096,s8,0.25,8,4,4194304,16,6.65478,6.02307,7.1288,10.1376,1,10.0843,6.6473,5.53921,5.40192,0.55312,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,nchw_nhwc_quant,4096,s8,0.25,8,4,4194304,16,5.76987,5.76849,5.77242,0.0257432,0,11.6309,5.76336,0,5.18242,0.553712,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,nchw_nhwc_quant,4096,s8,0.25,8,16,16777216,1,27.1053,26.8741,27.3977,0.456889,0,2.47586,27.0984,25.769,1.30413,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,nchw_nhwc_quant,4096,s8,0.25,8,16,16777216,4,9.20234,9.17179,9.2454,0.272376,0,7.29259,9.19442,7.20883,6.18723,0.551152,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,nchw_nhwc_quant,4096,s8,0.25,8,16,16777216,4,5.71483,5.7102,5.71654,0.0556629,0,11.7429,5.70933,0,5.14651,0.5532,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,nchw_nhwc_quant,4096,s8,0.25,8,64,67108864,1,9.75519,9.74648,9.76225,0.0838017,0,6.8793,9.74758,4.02989,5.15286,0.551744,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,nchw_nhwc_quant,4096,s8,0.25,8,64,67108864,1,5.70008,5.69712,5.70255,0.0541391,0,11.7733,5.69405,0,5.13752,0.550816,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,convert_f16,4096,f16,0.5,8,4,4194304,8,4.90491,4.85731,4.93314,0.583028,0,13.682,4.89778,4.47728,2.95466,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,convert_f16,4096,f16,0.5,8,4,4194304,16,6.65801,6.17639,6.89673,5.01682,1,10.0794,6.65078,5.92695,5.44293,0.18696,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b_fair,convert_f16,4096,f16,0.5,8,4,4194304,16,5.40309,5.40004,5.40538,0.0222882,0,12.4205,5.39779,0,5.18182,0.187776,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,convert_f16,4096,f16,0.5,8,16,16777216,2,5.71212,5.69615,5.73748,0.29957,0,11.7485,5.70502,4.35997,2.81085,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,b,convert_f16,4096,f16,0.5,8,16,16777216,4,8.83028,8.80501,8.85122,0.140293,0,7.59986,8.82288,7.20844,6.18611,0.186224,1
