# config.machine: epyc7351-2080ti
# config.bin: bench-rtrack
# config.transforms: all
# config.methods: a
# config.n: 8192
# config.chunk_mib: 4; 16; 64; 256
# config.threads: 1; 2; 4
# config.warmup: 5
# config.iters: 30
# config.out_csv: r1_gen3_tsweep.csv
# calibration.timestamp: 2026-07-20T15:27:08+0900
# calibration.hostname: rebel-gpu1
# calibration.kernel: Linux rebel-gpu1 6.8.0-124-generic #124~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue May 26 21:05:19 UTC  x86_64
# calibration.cpu_model: AMD EPYC 7351 16-Core Processor
# calibration.governors: performance
# calibration.transparent_hugepage: always [madvise] never
# calibration.numactl_available: False
# calibration.cuda_toolkit: None
# calibration.gpus: {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}; {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}; {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}; {'name': 'NVIDIA GeForce RTX 2080 Ti', 'driver': '595.71.05', 'pcie_gen_current_idle': '1', 'pcie_gen_max': '3', 'pcie_width_current_idle': '16', 'pcie_width_max': '16', 'clocks_sm': '300 MHz', 'clocks_mem': '405 MHz'}
# calibration.pcie_under_load.gen: 3
# calibration.pcie_under_load.width: 16
# calibration.triad_gbps: 44.39
# calibration.nvbandwidth: None
# calibration.notes: nvbandwidth not installed
machine,gpu,method,transform,N,dtype_out,r,threads,chunk_req_mib,staging_bytes,n_chunks,median_ms,min_ms,p95_ms,iqr_over_median_pct,unstable,effective_input_GBps,gpu_pipeline_ms,cpu_stage_ms,h2d_ms,gpu_kernel_ms,verified
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,convert_f16,8192,f16,0.5,2,16,16777216,8,20.3699,20.3033,20.5613,0.418399,0,13.1781,20.3618,18.8028,10.4725,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,convert_f16,8192,f16,0.5,2,64,67108864,2,22.6072,22.5742,22.6435,0.105983,0,11.8739,22.5998,17.4119,10.3253,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,convert_f16,8192,f16,0.5,2,256,134217728,1,26.0227,25.9955,26.0525,0.117237,0,10.3154,26.0151,15.7226,10.2787,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose,8192,f32,1,4,4,4194304,64,381.245,380.376,449.012,0.985061,0,0.704102,381.24,379.954,21.0446,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose,8192,f32,1,4,16,16777216,16,390.015,389.436,408.49,0.456295,0,0.688269,390.01,388.289,20.7258,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose,8192,f32,1,4,64,67108864,4,392.663,391.143,399.852,0.315154,0,0.683629,392.655,387.351,20.5899,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose,8192,f32,1,4,256,268435456,1,407.223,406.762,408.089,0.146123,0,0.659186,407.217,386.643,20.5491,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,8192,f32,1,4,4,4194304,64,38.5869,38.518,38.8053,0.15956,0,6.95665,38.5803,37.449,20.9383,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,8192,f32,1,4,16,16777216,16,32.1347,32.0889,32.2227,0.0922649,0,8.35345,32.1276,30.3317,25.8188,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,8192,f32,1,4,64,67108864,4,33.9766,33.9442,34.0085,0.066813,0,7.9006,33.9696,28.7055,24.2578,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,blocked_transpose,8192,f32,1,4,256,268435456,1,43.1339,43.0779,43.1575,0.0517146,0,6.2233,43.127,22.5728,20.5423,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose_quant,8192,s8,0.25,4,4,4194304,16,687.785,687.355,689.414,0.0826332,0,0.39029,687.781,687.104,5.31616,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose_quant,8192,s8,0.25,4,16,16777216,4,689.266,688.545,690.707,0.137509,0,0.389451,689.262,687.815,5.21166,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,transpose_quant,8192,s8,0.25,4,64,67108864,1,694.6,694.15,695.875,0.0520073,0,0.38646,694.595,689.426,5.15152,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,quant,8192,s8,0.25,4,4,4194304,16,14.0987,14.0707,14.1364,0.205424,0,19.0397,14.0916,13.4531,5.64326,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,quant,8192,s8,0.25,4,16,16777216,4,14.4576,14.4036,14.5654,0.251645,0,18.5671,14.45,13.03,5.43832,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,quant,8192,s8,0.25,4,64,67108864,1,16.8076,16.731,16.8513,0.198551,0,15.9711,16.7988,11.6368,5.14998,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,nchw_nhwc_quant,8192,s8,0.25,4,4,4194304,16,144.773,144.192,145.49,0.433465,0,1.85418,144.766,143.989,5.36957,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,nchw_nhwc_quant,8192,s8,0.25,4,16,16777216,4,145.713,143.736,149.552,0.508613,0,1.84222,145.706,144.249,5.21875,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,nchw_nhwc_quant,8192,s8,0.25,4,64,67108864,1,149.377,148.894,151.079,0.327349,0,1.79703,149.37,144.193,5.15502,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,convert_f16,8192,f16,0.5,4,4,4194304,32,18.5723,18.4924,18.685,0.465863,0,14.4535,18.5658,17.9084,11.7468,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,convert_f16,8192,f16,0.5,4,16,16777216,8,20.2018,20.1429,20.3719,0.424307,0,13.2877,20.195,18.6413,11.8084,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,convert_f16,8192,f16,0.5,4,64,67108864,2,22.3103,22.265,22.5668,0.24423,0,12.0319,22.3027,17.1097,11.0653,0,1
epyc7351-2080ti,NVIDIA GeForce RTX 2080 Ti,a,convert_f16,8192,f16,0.5,4,256,134217728,1,25.5665,25.5446,25.6244,0.058155,0,10.4995,25.5591,15.2673,10.2799,0,1
